Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,TSI,CO2,CH4
2004,0.81,1.073,0.916,0.705,0.345,0.527,0.388,0.465,0.549,0.772,1.076,0.459,0.67375,1360.9153,377.49,1866.2883333333
2005,0.96,0.566,0.872,1.022,0.762,0.869,0.828,0.709,0.91,1.093,1.205,0.787,0.8819166667,1360.746,379.8,1867.5908333333
2006,0.608,0.93,0.775,0.574,0.506,0.867,0.792,0.732,0.77,0.974,0.884,1.313,0.8104166667,1360.6647,381.9,1865.4491666667
2007,1.697,0.904,1.01,1.126,0.786,0.582,0.622,0.784,0.827,0.989,0.778,0.798,0.9085833333,1360.5636,383.76,1872.7608333333
2008,0.385,0.499,1.204,0.557,0.479,0.605,0.73,0.569,0.563,1.011,1.065,0.67,0.69475,1360.5324,385.59,1883.7858333333
2009,0.779,0.792,0.633,0.829,0.581,0.659,0.587,0.876,0.976,0.724,0.845,0.492,0.7310833333,1360.5516,387.37,1885.5558333333
2010,0.778,0.826,1.111,1.062,0.936,0.996,0.974,0.863,0.732,0.888,1.195,0.448,0.90075,1360.7969,389.85,1896.4875
2011,0.467,0.382,0.585,0.83,0.523,0.778,0.775,0.766,0.852,0.941,0.609,0.827,0.6945833333,1361.068,391.63,1896.0341666667
2012,0.557,0.323,0.645,1.03,0.963,0.947,0.792,0.891,0.9,0.847,0.849,0.261,0.7504166667,1361.2332,393.82,1899.78
2013,0.935,0.949,0.669,0.581,0.773,0.827,0.671,0.706,0.776,0.821,0.984,0.795,0.7905833333,1361.2924,396.48,1906.75
2014,0.95,0.408,0.929,1.048,,,,,,,,,0.83375
